,BATSMEN,RUN SOCRED,TIME SPEND ON PITCH,BALLS FACED,FOURS,SIXES,STRIKE RATE,TEAM,OPPOSITION,VENUE,MATCH DATE,SCORECARD
0,RG Sharma,264,225,173,33,9,152.60,India,v Sri Lanka,Eden Gardens,13 Nov 2014,ODI # 3544
1,MJ Guptill,237*,223,163,24,11,145.39,New Zealand,v West Indies,Wellington,21 Mar 2015,ODI # 3643
2,V Sehwag,219,208,149,25,7,146.97,India,v West Indies,Indore,08 Dec 2011,ODI # 3223
3,CH Gayle,215,212,147,10,16,146.25,West Indies,v Zimbabwe,Canberra,24 Feb 2015,ODI # 3612
4,Fakhar Zaman,210*,221,156,24,5,134.61,Pakistan,v Zimbabwe,Bulawayo,20 Jul 2018,ODI # 4020
5,P Nissanka,210*,221,139,20,8,151.07,Sri Lanka,v Afghanistan,Pallekele,09 Feb 2024,ODI # 4725
6,Ishan Kishan,210,169,131,24,10,160.30,India,v Bangladesh,Chattogram,10 Dec 2022,ODI # 4499
7,RG Sharma,209,222,158,12,16,132.27,India,v Australia,Bengaluru,02 Nov 2013,ODI # 3428
8,RG Sharma,208*,212,153,13,12,135.94,India,v Sri Lanka,Mohali,13 Dec 2017,ODI # 3941
9,Shubman Gill,208,225,149,19,9,139.59,India,v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
10,GJ Maxwell,201*,181,128,21,10,157.03,Australia,v Afghanistan,Wankhede,07 Nov 2023,ODI # 4696
11,SR Tendulkar,200*,226,147,25,3,136.05,India,v South Africa,Gwalior,24 Feb 2010,ODI # 2962
12,CK Coventry,194*,191,156,16,7,124.35,Zimbabwe,v Bangladesh,Bulawayo,16 Aug 2009,ODI # 2873
13,Saeed Anwar,194,206,146,22,5,132.87,Pakistan,v India,Chennai,21 May 1997,ODI # 1209
14,Fakhar Zaman,193,224,155,18,10,124.51,Pakistan,v South Africa,Johannesburg,04 Apr 2021,ODI # 4286
15,IVA Richards,189*,-,170,21,5,111.17,West Indies,v England,Manchester,31 May 1984,ODI # 264
16,MJ Guptill,189*,216,155,19,2,121.93,New Zealand,v England,Southampton,02 Jun 2013,ODI # 3361
17,ST Jayasuriya,189,-,161,21,4,117.39,Sri Lanka,v India,Sharjah,29 Oct 2000,ODI # 1652
18,G Kirsten,188*,210,159,13,4,118.23,South Africa,v U.A.E.,Rawalpindi,16 Feb 1996,ODI # 1049
19,SR Tendulkar,186*,221,150,20,3,124.00,India,v New Zealand,Hyderabad (Deccan),08 Nov 1999,ODI # 1523
20,SR Watson,185*,113,96,15,15,192.70,Australia,v Bangladesh,Mirpur,11 Apr 2011,ODI # 3150
21,F du Plessis,185,212,141,16,3,131.20,South Africa,v Sri Lanka,Cape Town,07 Feb 2017,ODI # 3833
22,MS Dhoni,183*,210,145,15,10,126.20,India,v Sri Lanka,Jaipur,31 Oct 2005,ODI # 2290
23,SC Ganguly,183,210,158,17,7,115.82,India,v Sri Lanka,Taunton,26 May 1999,ODI # 1463
24,V Kohli,183,211,148,22,1,123.64,India,v Pakistan,Mirpur,18 Mar 2012,ODI # 3263
25,BA Stokes,182,185,124,15,9,146.77,England,v New Zealand,The Oval,13 Sep 2023,ODI # 4643
26,ML Hayden,181*,227,166,11,10,109.03,Australia,v New Zealand,Hamilton,20 Feb 2007,ODI # 2527
27,LRPL Taylor,181*,213,147,17,6,123.12,New Zealand,v England,Dunedin,07 Mar 2018,ODI # 3989
28,IVA Richards,181,-,125,16,7,144.80,West Indies,v Sri Lanka,Karachi,13 Oct 1987,ODI # 457
29,MJ Guptill,180*,198,138,15,11,130.43,New Zealand,v South Africa,Hamilton,01 Mar 2017,ODI # 3843
30,Fakhar Zaman,180*,220,144,17,6,125.00,Pakistan,v New Zealand,Rawalpindi,29 Apr 2023,ODI # 4571
31,JJ Roy,180,151,151,16,5,119.20,England,v Australia,Melbourne,14 Jan 2018,ODI # 3951
32,DA Warner,179,186,128,19,5,139.84,Australia,v Pakistan,Adelaide,26 Jan 2017,ODI # 3826
33,JD Campbell,179,-,137,15,6,130.65,West Indies,v Ireland,Dublin,05 May 2019,ODI # 4128
34,H Masakadza,178*,201,167,17,4,106.58,Zimbabwe,v Kenya,Harare,18 Oct 2009,ODI # 2912
35,DA Warner,178,164,133,19,5,133.83,Australia,v Afghanistan,Perth,04 Mar 2015,ODI # 3623
36,Q de Kock,178,142,113,16,11,157.52,South Africa,v Australia,Centurion,30 Sep 2016,ODI # 3785
37,JN Malan,177*,213,169,16,6,104.73,South Africa,v Ireland,Dublin (Malahide),16 Jul 2021,ODI # 4305
38,MR Marsh,177*,177,132,17,9,134.09,Australia,v Bangladesh,Pune,11 Nov 2023,ODI # 4700
39,PR Stirling,177,177,134,21,5,132.08,Ireland,v Canada,Toronto,07 Sep 2010,ODI # 3042
40,E Lewis,176*,-,130,17,7,135.38,West Indies,v England,The Oval,27 Sep 2017,ODI # 3916
