,Uni_name,Course_Name
0,Hochschule Flensburg,Applied Bio and Food Sciences
1,Technische Hochschule Lübeck,Applied Information Technology
2,Technische Hochschule Lübeck,Architecture
3,Lübeck University,Audiology and Audiological Technology
4,Technische Hochschule Lübeck,Audiology and Audiological Technology
5,Westcoast University of Applied Sciences,Automation Engineering
6,Technische Hochschule Lübeck,Biomedical Engineering
7,Technische Hochschule Lübeck,Civil engineering
8,Kiel University of Applied Sciences,Computer Science
9,Kiel University of Applied Sciences,Data Science
10,Kiel University,Electric Vehicle Propulsion and Control (E-PiCo)
11,Kiel University,Electrical and Information Engineering
12,Kiel University of Applied Sciences,Electrical Technologies
13,Europa-Universität Flensburg,Energy and Environmental Management (Developing Countries)
14,Europa-Universität Flensburg,Energy and Environmental Management (Industrial Countries)
15,Technische Hochschule Lübeck,Environmental Management
16,Westcoast University of Applied Sciences,Green Energy
17,Technische Hochschule Lübeck,Industrial engineering
18,Kiel University of Applied Sciences,Industrial Engineering
19,Fachhochschule of Wedel,Industrial engineering
20,Westcoast University of Applied Sciences,Industrial Engineering (Digital Economy)
21,Kiel University of Applied Sciences,Industrial Engineering continuing education
22,Kiel University,Industrial Engineering Electrical and Information Engineering
23,Hochschule Flensburg,Maschinenbau / Verfahrenstechnik
24,Kiel University,Materials Science and Business Administration
25,Kiel University,Materials Science and Engineering
26,Kiel University of Applied Sciences,Mechanical engineering
27,Technische Hochschule Lübeck,Mechanical Engineering
28,Lübeck University,Medical Engineering
29,Technische Hochschule Lübeck,Medical Microtechnology
30,Technische Hochschule Lübeck,Medieninformatik Online
31,Westcoast University of Applied Sciences,Microelectronic Systems
32,Technische Hochschule Lübeck,Regulatory Affairs Online
33,Kiel University of Applied Sciences,Shipbuilding and Maritime Engineering
34,Muthesius University - University of Applied Art and Design Science,Spatial Strategies
35,Technische Hochschule Lübeck,Town Planning
36,Technische Hochschule Lübeck,Water Engineering
37,Hochschule Flensburg,Wind Engineering
